date,Adj Close,close,high,low,open,volume,daily_return,ma_7,high_52w,low_52w,volatility_14d
2024-04-01,3673.169921875,3916.75,3933.300048828125,3888.050048828125,3897.699951171875,1569676,0.0048875103437342445,3916.75,3933.300048828125,3888.050048828125,0.0
2024-04-02,3642.269287109375,3883.800048828125,3909.85009765625,3873.0,3890.0,2142666,-0.0015938177819730078,3900.2750244140625,3933.300048828125,3873.0,0.004582991068782694
2024-04-03,3701.820556640625,3947.300048828125,3981.0,3851.0,3851.0,3973090,0.02500650449964295,3915.9500325520835,3981.0,3851.0,0.01387058449624244
2024-04-04,3754.337646484375,4003.300048828125,4028.64990234375,3935.25,3975.89990234375,3394637,0.0068915584288786825,3937.7875366210938,4028.64990234375,3851.0,0.011396372869318128
2024-04-05,3731.78369140625,3979.25,4002.0,3960.5,3978.0,1636819,0.000314228255404726,3946.080029296875,4028.64990234375,3851.0,0.01057367746337861
2024-04-08,3725.500244140625,3972.550048828125,4032.64990234375,3960.0,3983.0,2302538,-0.0026236382555548583,3950.49169921875,4032.64990234375,3851.0,0.010256909543866691
2024-04-09,3701.116943359375,3946.550048828125,4015.85009765625,3925.050048828125,3984.0,1876992,-0.009400088145550954,3949.9286063058034,4032.64990234375,3851.0,0.010922583323337096
2024-04-10,3736.846923828125,3984.64990234375,3990.199951171875,3918.0,3956.39990234375,2101965,0.0071403297688044255,3959.628592354911,4032.64990234375,3851.0,0.010200540501126445
2024-04-12,3752.555908203125,4001.39990234375,4013.35009765625,3945.5,3971.0,4354821,0.007655477799987409,3976.4285714285716,4032.64990234375,3851.0,0.009626657272012973
2024-04-15,3696.099365234375,3941.199951171875,4064.199951171875,3919.050048828125,4001.39990234375,4200329,-0.015044722507393958,3975.55712890625,4064.199951171875,3851.0,0.01093692134484888
2024-04-16,3631.953369140625,3872.800048828125,3928.699951171875,3862.85009765625,3902.0,3051420,-0.007483329362346232,3956.9142717633927,4064.199951171875,3851.0,0.010788763140858767
2024-04-18,3621.824951171875,3862.0,3936.0,3850.0,3876.800048828125,3476284,-0.0038175940573976063,3940.1642717633927,4064.199951171875,3850.0,0.01039770114726658
2024-04-19,3588.2509765625,3826.199951171875,3852.550048828125,3800.89990234375,3838.0,2957749,-0.0030745307003973424,3919.2571149553573,4064.199951171875,3800.89990234375,0.010018801015851607
2024-04-22,3624.26318359375,3864.60009765625,3878.0,3812.0,3837.0,1728883,0.007193145075905656,3907.549979073661,4064.199951171875,3800.89990234375,0.009781815256699673
2024-04-23,3633.735107421875,3874.699951171875,3895.0,3860.60009765625,3877.050048828125,1807586,-0.0006061561307314924,3891.842843191964,4064.199951171875,3800.89990234375,0.00973025320567224
2024-04-24,3592.799560546875,3831.050048828125,3898.0,3824.449951171875,3890.0,1317312,-0.015154229093026992,3867.507149832589,4064.199951171875,3800.89990234375,0.010616530231120266
2024-04-25,3612.63427734375,3852.199951171875,3873.64990234375,3811.0,3811.199951171875,2856271,0.010757766720529381,3854.7928641183034,4064.199951171875,3800.89990234375,0.008480878345470316
2024-04-26,3583.702880859375,3821.35009765625,3876.800048828125,3802.550048828125,3855.14990234375,2039178,-0.008767442393602207,3847.44287109375,4064.199951171875,3800.89990234375,0.008358765569657398
2024-04-29,3629.514892578125,3870.199951171875,3877.800048828125,3819.199951171875,3838.0,1110693,0.008389773624772017,3848.6142926897323,4064.199951171875,3800.89990234375,0.008822590738414671
2024-04-30,3583.04638671875,3820.64990234375,3881.75,3810.0,3872.0,2203078,-0.013261905386428203,3847.8214285714284,4064.199951171875,3800.89990234375,0.009344117329640932
2024-05-02,3623.04443359375,3863.300048828125,3871.10009765625,3778.050048828125,3778.050048828125,2491044,0.02256455020399818,3847.6357073102677,4064.199951171875,3778.050048828125,0.011248467387387473
2024-05-03,3604.381591796875,3843.39990234375,3893.60009765625,3797.60009765625,3890.14990234375,2962234,-0.01201753175933758,3843.1642717633927,4064.199951171875,3778.050048828125,0.011443781749087934
2024-05-06,3677.202880859375,3921.050048828125,3939.949951171875,3853.0,3853.0,2053831,0.017661575091649364,3856.021414620536,4064.199951171875,3778.050048828125,0.012344590646987135
2024-05-07,3731.501953125,3978.949951171875,3988.0,3913.5,3930.800048828125,2062112,0.012249389881356279,3874.1285574776784,4064.199951171875,3778.050048828125,0.012092316646476992
2024-05-08,3729.626220703125,3976.949951171875,3984.300048828125,3938.60009765625,3961.0,1247685,0.004026748591738198,3896.357107979911,4064.199951171875,3778.050048828125,0.011856849010451769
2024-05-09,3713.918212890625,3960.199951171875,3971.0,3910.050048828125,3962.0,1726486,-0.0004543283261294801,3909.2142508370534,4064.199951171875,3778.050048828125,0.011766532088248162
2024-05-10,3651.740966796875,3893.89990234375,3973.60009765625,3885.050048828125,3962.60009765625,1672489,-0.017337150764502818,3919.678536551339,4064.199951171875,3778.050048828125,0.012819999879816526
