date,Adj Close,close,high,low,open,volume,daily_return,ma_7,high_52w,low_52w,volatility_14d
2024-04-01,1407.943359375,1495.449951171875,1529.949951171875,1492.800048828125,1525.0,6580002,-0.01937708119877049,1495.449951171875,1529.949951171875,1492.800048828125,0.0
2024-04-02,1396.0806884765625,1482.8499755859375,1493.1500244140625,1480.8499755859375,1484.8499755859375,7279400,-0.0013469374232307739,1489.1499633789062,1529.949951171875,1480.8499755859375,0.012749236929452554
2024-04-03,1394.0096435546875,1480.6500244140625,1495.0999755859375,1475.0,1479.0,8736248,0.0011156351683992561,1486.316650390625,1529.949951171875,1475.0,0.011188549000659468
2024-04-04,1399.7054443359375,1486.699951171875,1495.6500244140625,1468.0,1490.550048828125,11186915,-0.0025830046158308866,1486.4124755859375,1529.949951171875,1468.0,0.009346793474558983
2024-04-05,1392.5501708984375,1479.0999755859375,1486.699951171875,1476.050048828125,1480.050048828125,5072482,-0.000641919672202808,1484.9499755859374,1529.949951171875,1468.0,0.008386628393772584
2024-04-08,1390.2906494140625,1476.699951171875,1490.949951171875,1474.0999755859375,1483.0,6610887,-0.004248178575944032,1483.574971516927,1529.949951171875,1468.0,0.007502355222604144
2024-04-09,1407.3785400390625,1494.8499755859375,1513.800048828125,1487.300048828125,1490.0,9423230,0.0032550171717701344,1485.1856863839287,1529.949951171875,1468.0,0.0074515792450096
2024-04-10,1418.62939453125,1506.800048828125,1509.8499755859375,1484.550048828125,1500.3499755859375,6744595,0.004299045787412719,1486.80712890625,1529.949951171875,1468.0,0.00741690204438888
2024-04-12,1397.86962890625,1484.75,1506.800048828125,1479.5,1504.0,12275616,-0.012799202127659575,1487.0785609654017,1529.949951171875,1468.0,0.007749559324831094
2024-04-15,1382.2410888671875,1468.1500244140625,1491.949951171875,1461.050048828125,1480.0,8531224,-0.00800674026076858,1485.2928466796875,1529.949951171875,1461.050048828125,0.007438544585028113
2024-04-16,1331.68310546875,1414.449951171875,1455.1500244140625,1413.050048828125,1451.0,16173541,-0.025189558117246727,1474.9714181082588,1529.949951171875,1413.050048828125,0.00951253704251884
2024-04-18,1336.202392578125,1419.25,1444.699951171875,1407.5,1421.0999755859375,22107945,-0.0013017913009074056,1466.421421595982,1529.949951171875,1407.5,0.009168847957098724
2024-04-19,1328.67041015625,1411.25,1426.8499755859375,1378.75,1385.0,20603621,0.01895306859205776,1457.0714285714287,1529.949951171875,1378.75,0.011104836262903274
2024-04-22,1348.9124755859375,1432.75,1436.8499755859375,1413.050048828125,1419.9000244140625,5859087,0.009049915744061054,1448.2000034877233,1529.949951171875,1378.75,0.01119870156868767
2024-04-23,1357.9976806640625,1442.4000244140625,1446.8499755859375,1433.0,1443.0,4856174,-0.00041578349683818434,1439.0,1529.949951171875,1378.75,0.010131904576844201
2024-04-24,1347.0294189453125,1430.75,1444.300048828125,1427.050048828125,1444.300048828125,4268213,-0.00938174089180377,1431.2857142857142,1529.949951171875,1378.75,0.010352690187115493
2024-04-25,1354.27880859375,1438.449951171875,1444.9000244140625,1420.0,1420.0,9089398,0.012992923360475353,1427.0428466796875,1529.949951171875,1378.75,0.011087563744249176
2024-04-26,1346.5587158203125,1430.25,1445.4000244140625,1427.0,1439.699951171875,8062444,-0.006563833779519828,1429.2999965122767,1529.949951171875,1378.75,0.011177978812831528
2024-04-29,1350.79541015625,1434.75,1439.800048828125,1428.25,1429.949951171875,5055957,0.0033567949872589987,1431.5142822265625,1529.949951171875,1378.75,0.011250476311558564
2024-04-30,1337.42626953125,1420.550048828125,1436.550048828125,1417.550048828125,1434.699951171875,6936588,-0.009862621332211129,1432.8428606305804,1529.949951171875,1378.75,0.011467651730763005
2024-05-02,1331.68310546875,1414.449951171875,1424.0,1411.8499755859375,1413.0,10076354,0.0010261508647381459,1430.2285679408483,1529.949951171875,1378.75,0.011411236736810016
2024-05-03,1333.425048828125,1416.300048828125,1424.800048828125,1403.199951171875,1422.0999755859375,8842345,-0.00407842406116546,1426.5,1529.949951171875,1378.75,0.011291302486824653
2024-05-06,1342.46337890625,1425.9000244140625,1445.699951171875,1417.0999755859375,1420.0,6445422,0.00415494677046655,1425.8071463448662,1529.949951171875,1378.75,0.010983790753883069
2024-05-07,1356.6324462890625,1440.949951171875,1443.3499755859375,1415.5999755859375,1424.949951171875,6080661,0.011228464541397852,1426.1642892020088,1529.949951171875,1378.75,0.011251875592694123
2024-05-08,1343.7813720703125,1427.300048828125,1439.75,1425.5999755859375,1435.25,6234983,-0.005539070664953841,1425.7428676060267,1529.949951171875,1378.75,0.008785068710455882
2024-05-09,1355.314453125,1439.550048828125,1449.949951171875,1424.8499755859375,1427.550048828125,6088406,0.008406010009842242,1426.4285888671875,1529.949951171875,1378.75,0.008913196466968424
2024-05-10,1341.5218505859375,1424.9000244140625,1435.949951171875,1413.0,1435.050048828125,8777481,-0.007072941060383993,1427.050013950893,1529.949951171875,1378.75,0.007840331298992132
2024-05-13,1340.156494140625,1423.449951171875,1425.0,1411.199951171875,1425.0,3735954,-0.0010877535635964912,1428.335728236607,1529.949951171875,1378.75,0.007450529001822339
2024-05-14,1341.33349609375,1424.699951171875,1433.75,1418.050048828125,1426.4000244140625,3463230,-0.0011918628807412262,1429.5357142857142,1529.949951171875,1378.75,0.007455122610210223
2024-05-15,1336.861328125,1419.949951171875,1431.800048828125,1418.550048828125,1426.0,4327544,-0.004242670987464937,1428.6857038225446,1529.949951171875,1378.75,0.00708885537823999
